Adresse,lat,lon,precision,correspondance
"Ambohitrinimanga, Anosy Avaratra, Antananarivo, Analamanga, Madagascar",-18.8116496,47.546746,exacte,"Fiangonana Advantista Ambohitrinimanga, Route Tsarasaotra-Anosy Avaratra, Amorondria, Atendro, Anosy Avaratra, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambohitrinimanga, Antananarivo, Analamanga, Madagascar",-18.8852609,47.542471,exacte,"Ambohitrinimanga, Amboditsiry, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
Ambohitrombihavana,-18.8850336,47.6140676,incertaine,"Ambohitrombihavana, Ambohimangakely, District d'Antananarivo Avaradrano, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
Ambohitsoa,-18.9410645,47.5417796,incertaine,"Ambohitsoa, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
Ambolikandriandrina,,,introuvable,
"Ambolokandrina, Antananarivo, Analamanga, Madagascar",-18.9217818,47.5751583,exacte,"Cité des Professeurs Ambolokandrina, Ambolonkandrina, Antananarivo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ambondromamy, Ambato-Boeny, Boeny, Madagascar",-16.436889,47.156923,exacte,"Ambondromamy, Ambato Boeni, Boeny, Province de Mahajanga, Madagasikara / Madagascar"
Ambondrona,-21.2686805,46.9937002,incertaine,"Ambondrona, District d'Isandra, Matsiatra Ambony, Province de Fianarantsoa, Madagasikara / Madagascar"
"Ambositra, Amoron'i Mania, Madagascar",-20.5328149,47.2450521,exacte,"Ambositra, Amoron'i Mania, Province de Fianarantsoa, 306, Madagasikara / Madagascar"
"Amoron'i Mania, Madagascar",-20.4554111,46.7401213,exacte,"Amoron'i Mania, Province de Fianarantsoa, Madagasikara / Madagascar"
Ampagabe,,,introuvable,
Ampamantanana,-18.9419992,47.5366079,incertaine,"Ampamantanana Androndrabe, Antananarivo, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Ampanihy, Atsimo-Andrefana, Madagascar",-24.6926617,44.7463882,exacte,"Ampanihy, Ampanihy Ouest, Atsimo-Andrefana, Province de Toliara, Madagasikara / Madagascar"
"Ampanotokana, Analamanga, Madagascar",-18.7186715,47.3086387,exacte,"Ampanotokana, District d'Ambohidratrimo, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Ampanotokana, Antananarivo, Analamanga, Madagascar",-18.8991511,47.5576144,exacte,"Ampanotokana, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Amparafaravola, Alaotra-Mangoro, Madagascar",-17.587293,48.2237417,exacte,"Amparafaravola, Alaotra-Mangoro, Province de Tamatave, Madagasikara / Madagascar"
"Ampasanimalo, Antananarivo, Analamanga, Madagascar",-18.9152684,47.5397428,exacte,"Ampasanimalo, Avaratr'Antanimora, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ampasapito, Antananarivo, Analamanga, Madagascar",-18.8950086,47.547481,exacte,"Blueline SM Ampasapito, N 2, Ambatokaranana, Ankadindramamy, Ampasampito, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
Ampasika,-15.7206819,46.3151502,incertaine,"Ampasika, Mahajanga, Mahajanga I, Boeny, Province de Mahajanga, Madagasikara / Madagascar"
"Ampefiloha, Antananarivo, Analamanga, Madagascar",-18.9132011,47.5170925,exacte,"Ampefiloha, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Ampitatafika, Antananarivo, Analamanga, Madagascar",-18.936994,47.4783843,exacte,"Ampitatafika, Vahilava, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
"Analamahitsy, Antananarivo, Analamanga, Madagascar",-18.8712932,47.5437024,exacte,"Analamahitsy, Làlana Andriantsihoarana Ratsimbazafy, Ambohijatovo, Analamahitsy Cité, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
"Analamanga, Madagascar",-18.6340317,47.4872346,exacte,"Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Anatihazo, Antananarivo, Analamanga, Madagascar",-18.9148772,47.5105423,exacte,"Anatihazo, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
Andakana,-20.8125047,47.5135083,incertaine,"Andakana, Analampasina, District d'Ifanadiana, Vatovavy, Province de Fianarantsoa, Madagasikara / Madagascar"
"Andasibe, Moramanga, Alaotra-Mangoro, Madagascar",-18.9230783,48.4177934,exacte,"Andasibe, Moramanga, Alaotra-Mangoro, Province de Tamatave, Madagasikara / Madagascar"
"Andavamamba, Antananarivo, Analamanga, Madagascar",-18.9182911,47.5084372,exacte,"Andavamamba, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Andohanimandroseza, Antananarivo, Analamanga, Madagascar",-18.9253048,47.5519406,exacte,"Andohanimandroseza, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Andoharanofotsy, Antananarivo, Analamanga, Madagascar",-18.9790181,47.5333348,exacte,"Andoharanofotsy, District d'Antananarivo Atsimondrano, Analamanga, Province d’Antananarivo, 102, Madagasikara / Madagascar"
Andohariana,-19.3136746,47.5757092,incertaine,"Andohariana, District d'Andramasina, Analamanga, Province d’Antananarivo, Madagasikara / Madagascar"
"Andohatapenaka, Antananarivo, Analamanga, Madagascar",-18.8945234,47.5090828,exacte,"Rocade Andohatapenaka, Antsalovana, Ankazomanga, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
Andrainarivo,-19.1710981,46.7452805,incertaine,"Andrainarivo, Soavinandriana Ambony, Andasikely Ambany, Soavinandriana, Itasy, Province d’Antananarivo, Madagasikara / Madagascar"
"Andraisoro, Antananarivo, Analamanga, Madagascar",-18.9053244,47.5555546,exacte,"Andraisoro, Antananarivo, Analamanga, Province d’Antananarivo, 103, Madagasikara / Madagascar"
"Andranomanalina, Antananarivo, Analamanga, Madagascar",-18.9100673,47.5117975,exacte,"Andranomanalina, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Andranomena, Antananarivo, Analamanga, Madagascar",-18.851791,47.4816106,exacte,"Andranomena, Antananarivo, Analamanga, Province d’Antananarivo, 105, Madagasikara / Madagascar"
"Andravoahangy, Antananarivo, Analamanga, Madagascar",-18.8984389,47.5311422,exacte,"Andravoahangy, Antananarivo, Analamanga, Province d’Antananarivo, 101, Madagasikara / Madagascar"
"Androhibe, Antananarivo, Analamanga, Madagascar",-18.8667272,47.5420598,exacte,"Androhibe, Antananarivo, Analamanga, Province d’Antananarivo, 100, Madagasikara / Madagascar"
